Domaine,Zone,Élément,Produit,Année,Valeur
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Afghanistan","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2014","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2018","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Afghanistan","Nourriture","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2010","13"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2011","14"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2012","12"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2013","13"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2014","14"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2015","8"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2016","14"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2017","8"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2018","14"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2019","8"
"Bilans Alimentaires (2010-)","Afrique du Sud","Aliments pour animaux","Céréales, Autres","2020","7"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2010","42"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2011","43"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2012","44"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2013","43"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2014","43"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2015","41"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2016","44"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2017","43"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2018","46"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2019","48"
"Bilans Alimentaires (2010-)","Afrique du Sud","Nourriture","Céréales, Autres","2020","48"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2015","0"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2016","0"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2017","0"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2019","0"
"Bilans Alimentaires (2010-)","Albanie","Aliments pour animaux","Céréales, Autres","2020","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2010","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2011","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2012","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2013","0"
"Bilans Alimentaires (2010-)","Albanie","Nourriture","Céréales, Autres","2014","0"
