Country;Area;Density;Continent
Algeria;2381741;19,1484;Africa
Angola;1246700;29,425;Africa
Benin;112760;121,6107;Africa
Botswana;566730;4,7207;Africa
Burkina Faso;273600;84,9835;Africa
Burundi;25680;515,5202;Africa
Cameroon;472710;60,6023;Africa
Cape Verde;4033;148,4458;Africa
Central African Republic;622980;9,2175;Africa
Chad;1259200;14,516;Africa
Comoros;1861;457,8587;Africa
Djibouti;23180;49,0274;Africa
Democratic Republic of the Congo;2267050;45,1083;Africa
Egypt;995450;113,2318;Africa
Equatorial Guinea;28050;61,1291;Africa
Eritrea;121040,8;30,9722;Africa
Eswatini;17200;70,3966;Africa
Ethiopia;1128571,3;112,1126;Africa
Gabon;257670;9,4561;Africa
Gambia;10120;274,0285;Africa
Ghana;227533;149,965;Africa
Guinea;245720;57,7511;Africa
Guinea-Bissau;28120;76,488;Africa
Côte d'Ivoire;318000;90,7957;Africa
Kenya;569140;96,8138;Africa
Lesotho;30360;76,7562;Africa
Liberia;96320;56,2539;Africa
Libya;1759540;3,9149;Africa
Madagascar;581800;52,124;Africa
Malawi;94280;222,0169;Africa
Mali;1220190;19,0902;Africa
Mauritania;1030700;4,7181;Africa
Mauritius;2030;640,6685;Africa
Mayotte;374;898,3824;Africa
Morocco;446300;84,7861;Africa
Mozambique;786380;43,1056;Africa
Namibia;823290;3,1631;Africa
Niger;1266700;21,4754;Africa
Nigeria;910770;245,7312;Africa
Congo;341500;17,8825;Africa
Reunion;2512;390,8424;Africa
Rwanda;24670;571,3289;Africa
Sao Tome and Principe;960;241,5167;Africa
Senegal;192530;92,2618;Africa
Seychelles;460;234,0435;Africa
Sierra Leone;72180;121,794;Africa
Somalia;627340;28,9211;Africa
South Africa;1213090;49,8022;Africa
South Sudan;631930;17,5475;Africa
Sudan;1868000;25,7543;Africa
United Republic of Tanzania;885800;76,1324;Africa
Togo;54390;166,4607;Africa
Tunisia;155360;80,1894;Africa
Uganda;200520;242,2817;Africa
Western Sahara;266000;2,2077;Africa
Zambia;743390;27,6702;Africa
Zimbabwe;386850;43,0798;Africa
Afghanistan;652230;64,7622;Asia
Armenia;28470;97,5753;Asia
Azerbaijan;82646;125,991;Asia
Bahrain;785;1892,3682;Asia
Bangladesh;130170;1328,6803;Asia
Bhutan;38140;20,6456;Asia
Brunei Darussalam;5270;85,8679;Asia
Cambodia;176520;95,9938;Asia
China;9424702,9;151,2696;Asia
China, Taiwan Province of;;;Asia
China, mainland;;;Asia
China, Hong Kong SAR;;;Asia
China, Macao SAR;;;Asia
Georgia;69490;53,6521;Asia
Hong Kong;1050;7134,8657;Asia
India;2973190;480,5033;Asia
Indonesia;1877519;147,8196;Asia
Iran (Islamic Republic of);1622500;54,9601;Asia
Iraq;434128;104,8183;Asia
Israel;21640;423,9612;Asia
Japan;364500;338,2566;Asia
Jordan;88794;127,6781;Asia
Kazakhstan;2699700;7,2625;Asia
Kuwait;17820;241,8691;Asia
Kyrgyzstan;191800;35,1165;Asia
Lao People's Democratic Republic;230800;33,0753;Asia
Lebanon;10230;523,3558;Asia
Macau;32,9;21402,7052;Asia
Malaysia;328550;104,4241;Asia
Maldives;300;1736,7367;Asia
Mongolia;1557506,8;2,2133;Asia
Myanmar;652670;83,6227;Asia
Nepal;143350;215,5325;Asia
Democratic People's Republic of Korea;120410;217,2645;Asia
Oman;309500;15,0061;Asia
Pakistan;770880;311,9625;Asia
Palestine;6020;892,2309;Asia
Philippines;298170;393,5251;Asia
Qatar;11490;236,4135;Asia
Saudi Arabia;2149690;17,1871;Asia
Singapore;718;8377,0515;Asia
Republic of Korea;97600;530,5744;Asia
Sri Lanka;61860;353,9214;Asia
Syrian Arab Republic;183630;126,4881;Asia
Taiwan;36197;660,9188;Asia
Tajikistan;138790;73,0855;Asia
Thailand;510890;140,5416;Asia
Timor-Leste;14870;91,4994;Asia
Turkey;783562;109,5206;Asia
Turkmenistan;469930;13,8661;Asia
United Arab Emirates;71020;134,0027;Asia
Uzbekistan;440650;79,8002;Asia
Viet Nam;313429;315,411;Asia
Yemen;527970;65,2496;Asia
Albania;27400;103,3737;Europe
Andorra;470;170,4;Europe
Austria;82520;108,5671;Europe
Belarus;202980;46,794;Europe
Belgium;30280;385,9359;Europe
Bosnia and Herzegovina;51200;62,7119;Europe
Bulgaria;108560;61,6039;Europe
Croatia;55960;71,6336;Europe
Cyprus;9240;136,3786;Europe
Czechia;77198,5;135,9521;Europe
Denmark;40000;147,7728;Europe
Estonia;42750;30,9419;Europe
Faroe Islands;1366;38,9971;Europe
Finland;303940;18,2453;Europe
France;547557;118,2646;Europe
Germany;349390;238,4002;Europe
Gibraltar;6,8;4807,0588;Europe
Greece;128900;80,2271;Europe
Guernsey;63;1008,6349;Europe
Hungary;91260;111,2891;Europe
Iceland;100830;3,7223;Europe
Ireland;68890;73,4059;Europe
Isle of Man;570;148,614;Europe
Italy;295717;199,078;Europe
Jersey;120;931,6833;Europe
Latvia;62230;29,4104;Europe
Liechtenstein;160;247,4;Europe
Lithuania;62620;43,4103;Europe
Luxembourg;2574,5;254,3282;Europe
Malta;320;1672,075;Europe
Republic of Moldova;32884,6;104,4845;Europe
Monaco;2;18148,5;Europe
Montenegro;13450;46,5788;Europe
Netherlands;33670;523,264;Europe
North Macedonia;25220;82,6994;Europe
Norway;364285;15,0277;Europe
Poland;306130;134,0152;Europe
Portugal;91605,6;111,8666;Europe
Romania;230080;86,4604;Europe
Russian Federation;16376870;8,82;Europe
San Marino;60;560,7;Europe
Serbia;87460;81,7411;Europe
Slovakia;49035;118,1849;Europe
Slovenia;20136,4;105,2658;Europe
Spain;499556,6;95,1236;Europe
Sweden;407283,5;26,0558;Europe
Switzerland;39516;222,6103;Europe
